%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1695954315841150970,0.5,0.0,0.0,0.0,0.0,0.2
1695954315940754106,0.5,0.0,0.0,0.0,0.0,0.2
1695954316040710847,0.5,0.0,0.0,0.0,0.0,0.2
1695954316140717388,0.5,0.0,0.0,0.0,0.0,0.2
1695954316240709247,0.5,0.0,0.0,0.0,0.0,0.2
1695954316340682604,0.5,0.0,0.0,0.0,0.0,0.2
1695954316440725997,0.5,0.0,0.0,0.0,0.0,0.2
1695954316540717322,0.5,0.0,0.0,0.0,0.0,0.2
1695954316640784430,0.5,0.0,0.0,0.0,0.0,0.2
1695954316740910008,0.5,0.0,0.0,0.0,0.0,0.2
1695954316840722314,0.5,0.0,0.0,0.0,0.0,0.2
1695954316940726571,0.5,0.0,0.0,0.0,0.0,0.2
1695954317040719903,0.5,0.0,0.0,0.0,0.0,0.2
1695954317140978193,0.5,0.0,0.0,0.0,0.0,0.2
1695954317240849490,0.5,0.0,0.0,0.0,0.0,0.2
1695954317340639680,0.5,0.0,0.0,0.0,0.0,0.2
1695954317440696474,0.5,0.0,0.0,0.0,0.0,0.2
1695954317540740870,0.5,0.0,0.0,0.0,0.0,0.2
1695954317640716905,0.5,0.0,0.0,0.0,0.0,0.2
1695954317740702041,0.5,0.0,0.0,0.0,0.0,0.2
1695954317840740896,0.5,0.0,0.0,0.0,0.0,0.2
1695954317940711697,0.5,0.0,0.0,0.0,0.0,0.2
1695954318040644504,0.5,0.0,0.0,0.0,0.0,0.2
1695954318140788888,0.5,0.0,0.0,0.0,0.0,0.2
1695954318240725829,0.5,0.0,0.0,0.0,0.0,0.2
1695954318340908039,0.5,0.0,0.0,0.0,0.0,0.2
1695954318440717855,0.5,0.0,0.0,0.0,0.0,0.2
1695954318540865712,0.5,0.0,0.0,0.0,0.0,0.2
1695954318640752584,0.5,0.0,0.0,0.0,0.0,0.2
1695954318740931744,0.5,0.0,0.0,0.0,0.0,0.2
1695954318840746562,0.5,0.0,0.0,0.0,0.0,0.2
1695954318940779231,0.5,0.0,0.0,0.0,0.0,0.2
1695954319040733184,0.5,0.0,0.0,0.0,0.0,0.2
1695954319140692562,0.5,0.0,0.0,0.0,0.0,0.2
1695954319240660855,0.5,0.0,0.0,0.0,0.0,0.2
1695954319340696268,0.5,0.0,0.0,0.0,0.0,0.2
1695954319440695089,0.5,0.0,0.0,0.0,0.0,0.2
1695954319540734488,0.5,0.0,0.0,0.0,0.0,0.2
1695954319640771254,0.5,0.0,0.0,0.0,0.0,0.2
1695954319740692356,0.5,0.0,0.0,0.0,0.0,0.2
1695954319840712486,0.5,0.0,0.0,0.0,0.0,0.2
1695954319940752695,0.5,0.0,0.0,0.0,0.0,0.2
1695954320040808299,0.5,0.0,0.0,0.0,0.0,0.2
1695954320140998664,0.5,0.0,0.0,0.0,0.0,0.2
1695954320240720948,0.5,0.0,0.0,0.0,0.0,0.2
1695954320341211554,0.5,0.0,0.0,0.0,0.0,0.2
1695954320440973055,0.5,0.0,0.0,0.0,0.0,0.2
1695954320540771965,0.5,0.0,0.0,0.0,0.0,0.2
1695954320640736435,0.5,0.0,0.0,0.0,0.0,0.2
1695954320740755945,0.5,0.0,0.0,0.0,0.0,0.2
1695954320840765678,0.5,0.0,0.0,0.0,0.0,0.2
1695954320940789135,0.5,0.0,0.0,0.0,0.0,0.2
1695954321041056542,0.5,0.0,0.0,0.0,0.0,0.2
1695954321140694433,0.5,0.0,0.0,0.0,0.0,0.2
1695954321240997187,0.5,0.0,0.0,0.0,0.0,0.2
1695954321340723881,0.5,0.0,0.0,0.0,0.0,0.2
1695954321440979888,0.5,0.0,0.0,0.0,0.0,0.2
1695954321540697317,0.5,0.0,0.0,0.0,0.0,0.2
1695954321640749575,0.5,0.0,0.0,0.0,0.0,0.2
1695954321740758007,0.5,0.0,0.0,0.0,0.0,0.2
1695954321840787786,0.5,0.0,0.0,0.0,0.0,0.2
1695954321940644238,0.5,0.0,0.0,0.0,0.0,0.2
1695954322040722949,0.5,0.0,0.0,0.0,0.0,0.2
1695954322140687453,0.5,0.0,0.0,0.0,0.0,0.2
1695954322240748069,0.5,0.0,0.0,0.0,0.0,0.2
1695954322340691575,0.5,0.0,0.0,0.0,0.0,0.2
1695954322440956637,0.5,0.0,0.0,0.0,0.0,0.2
1695954322540759364,0.5,0.0,0.0,0.0,0.0,0.2
1695954322640958791,0.5,0.0,0.0,0.0,0.0,0.2
1695954322740742664,0.5,0.0,0.0,0.0,0.0,0.2
1695954322840939741,0.5,0.0,0.0,0.0,0.0,0.2
1695954322940790938,0.5,0.0,0.0,0.0,0.0,0.2
1695954323040856550,0.5,0.0,0.0,0.0,0.0,0.2
1695954323140772000,0.5,0.0,0.0,0.0,0.0,0.2
1695954323240753607,0.5,0.0,0.0,0.0,0.0,0.2
1695954323341015967,0.5,0.0,0.0,0.0,0.0,0.2
1695954323440738408,0.5,0.0,0.0,0.0,0.0,0.2
1695954323540816201,0.5,0.0,0.0,0.0,0.0,0.2
1695954323641078196,0.5,0.0,0.0,0.0,0.0,0.2
1695954323740958467,0.5,0.0,0.0,0.0,0.0,0.2
1695954323840992195,0.5,0.0,0.0,0.0,0.0,0.2
1695954323940948630,0.5,0.0,0.0,0.0,0.0,0.2
